code,catalog_name,catalog_depth,parent_catalog_code,full_catalog_name
7319,Pet Nail Tools,4,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Nail Tools
6406,Pet Shampoo & Conditioner,4,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Shampoo & Conditioner
499917,Pet Wipes,4,6383,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Wipes
500110,Pet Heating Pad Accessories,3,2,Animals & Pet Supplies > Pet Supplies > Pet Heating Pad Accessories
499743,Pet Heating Pads,3,2,Animals & Pet Supplies > Pet Supplies > Pet Heating Pads
5093,Pet ID Tags,3,2,Animals & Pet Supplies > Pet Supplies > Pet ID Tags
6253,Pet Leash Extensions,3,2,Animals & Pet Supplies > Pet Supplies > Pet Leash Extensions
6249,Pet Leashes,3,2,Animals & Pet Supplies > Pet Supplies > Pet Leashes
5145,Pet Medical Collars,3,2,Animals & Pet Supplies > Pet Supplies > Pet Medical Collars
6861,Pet Medical Tape & Bandages,3,2,Animals & Pet Supplies > Pet Supplies > Pet Medical Tape & Bandages
5086,Pet Medicine,3,2,Animals & Pet Supplies > Pet Supplies > Pet Medicine
5144,Pet Muzzles,3,2,Animals & Pet Supplies > Pet Supplies > Pet Muzzles
7144,Pet Oral Care Supplies,3,2,Animals & Pet Supplies > Pet Supplies > Pet Oral Care Supplies
5087,Pet Playpens,3,2,Animals & Pet Supplies > Pet Supplies > Pet Playpens
6973,Pet Steps & Ramps,3,2,Animals & Pet Supplies > Pet Supplies > Pet Steps & Ramps
6276,Pet Strollers,3,2,Animals & Pet Supplies > Pet Supplies > Pet Strollers
7396,Pet Sunscreen,3,2,Animals & Pet Supplies > Pet Supplies > Pet Sunscreen
505314,Pet Training Aids,3,2,Animals & Pet Supplies > Pet Supplies > Pet Training Aids
505313,Pet Training Clickers & Treat Dispensers,4,505314,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Clickers & Treat Dispensers
505304,Pet Training Pad Holders,4,505314,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Pad Holders
6846,Pet Training Pads,4,505314,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Pads
505311,Pet Training Sprays & Solutions,4,505314,Animals & Pet Supplies > Pet Supplies > Pet Training Aids > Pet Training Sprays & Solutions
5081,Pet Vitamins & Supplements,3,2,Animals & Pet Supplies > Pet Supplies > Pet Vitamins & Supplements
502982,Pet Waste Bag Dispensers & Holders,3,2,Animals & Pet Supplies > Pet Supplies > Pet Waste Bag Dispensers & Holders
8070,Pet Waste Bags,3,2,Animals & Pet Supplies > Pet Supplies > Pet Waste Bags
